code_name,dpid,sbmxn_pt,ctgry,typ,day_first,id
custodianallied,2A3L100312,001,cb,,false,1160
frebson,2A2L100336,001,cb,"",false,811
wudil,2ABL100666,001,mf,,false,1161
umuoji,2ABL100659,001,mf,,false,1163
townserve,2ABL100843,001,mf,,false,1164
eduek,2ABL100929,001,mf,,false,1166
uniuyo,2ABL100595,001,mf,,false,1167
ajewole,2ABL100711,001,mf,,false,1168
wetland,2ABL100935,001,mf,,false,1169
utuh,2ABL100662,001,mf,,false,1170
westley,2ABL100848,001,mf,,false,1162
imostate,2ABL100816,001,mf,,false,1171
kope,2ABL100839,001,mf,,false,1172
fullrange,2ABL100867,001,mf,,false,1173
nigprison,2ABL100856,001,mf,,false,1174
fastmfb,2ABL100905,001,mf,,false,1175
akcofed,2ABL100574,001,mf,,false,1176
hinache,2ABL100770,001,mf,,false,1159
rima,2ABL100761,001,mf,,false,1179
anchorage,2ABL100073,001,mf,,false,1180
naisa,2ABL100297,001,mf,,false,1181
unimaid,2ABL100881,001,mf,,true,1182
izon,2ABL100906,001,mf,,false,1183
murphy,2AFL100366,001,cb,,false,1184
Zamare,2ABL100766,001,mf,,false,1185
Dutsinma,2ABL100579,001,mf,,false,1186
petra,2ABL100826,001,mf,,false,1187
langtang,2ABL100532,001,mf,,false,1188
bmazazhin,2ABL100748,001,mf,,false,1189
hertrade,2ABL100936,001,mf,,false,1190
gashua,2ABL100722,001,mf,,false,1191
broadview,2ABL100823,001,mf,,false,1192
amoye,2ABL100753,001,mf,,false,1193
firstindex,2ABL100698,001,mf,,false,1194
phoenix,2ABL100902,001,mf,,false,1196
zigate,2ABL100912,001,mf,,false,1197
canaan,2ABL100928,001,mf,,false,1198
dangizhi,2ABL100806,001,mf,,false,1199
hackman,2ABL100822,001,mf,,false,1200
ukwala,2ABL100724,001,mf,,false,1201
akudiewa,2ABL100945,001,mf,,false,1202
ogbete,2ABL100642,001,mf,,false,1203
fufore,2ABL100802,001,mf,,false,1204
reality,2ABL100647,001,mf,,false,1205
yobemfb,2ABL100920,001,mf,,false,1206
legend,2ABL100481,001,mf,,false,1207
janmaa,2ABL100880,001,mf,,false,1208
imt,2ABL100577,001,mf,,false,916
